"Timestamp","1. Do you agree to participate in this survey?","2. What is your year of study?","3. Which school are you enrolled in?","4. Have you searched for an internship during your undergraduate studies?","5. Have you completed an internship during your undergraduate studies?","6. I am aware of KIU internship support services.","7. Have you used any KIU internship support services?","8. Which KIU internship support services have you used? Select all that apply.","9. Internship-related information is easy to find.","10. Communication about internship opportunities is clear and timely.","11. KIU provides useful support for internship applications.","12. KIU provides useful CV or resume support.","13. KIU provides useful interview preparation support.","14. KIU provides helpful employer or industry connections.","15. Internship support services are easy to access.","16. Overall, I am satisfied with KIU internship support services.","17. KIU support services have improved my internship readiness.","18. What is the main reason you have not used KIU internship support services?","19. I feel confident finding internship opportunities.","20. I feel confident preparing a strong CV or resume.","21. I feel confident preparing for internship interviews.","22. I understand what employers expect from interns.","23. Which improvement would help students the most?","24. What is the biggest weakness of KIU internship support services?","25. What improvement would you suggest for KIU internship support services?"
"2026/07/08 9:06:42 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements;Other","4","3","3","2","1","4","3","3","3","","3","3","2","4","Earlier communication about internship opportunities","i dont think there are enough services for everyone ","provide more connections in different fields"
"2026/07/08 9:08:10 pm GMT+4","Yes, I agree to participate","3rd year","Management","No","No","3","No","","","","","","","","","","","I knew about them but did not need them","3","4","4","3","One central internship information platform","I did not notice any major weaknesses. Since management students usually have access to a variety of internship opportunities, the current support is generally sufficient.","The current support is good, but expanding partnerships with companies and offering more internship opportunities would still be a valuable improvement."
"2026/07/08 9:08:17 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","4","4","4","1","1","5","4","4","4","","4","4","4","4","More mock interview practice","we don't get any tips on how to prepare cvs or for interviews","more guidance for the 2 things i mentioned"
"2026/07/08 9:10:45 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements","3","3","3","1","1","4","3","3","3","","4","3","4","4","One central internship information platform","this topic is not organized well","an application for organizing all this"
"2026/07/08 9:11:27 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","4","No","","","","","","","","","","","The available services did not seem relevant to my field","3","5","5","3","More school-specific internship guidance","One weakness is that information about internship opportunities does not always reach students effectively. Since internships are not mandatory, many students are not aware of the available support and opportunities.","One weakness is that information about internship opportunities does not always reach students effectively. Since internships are not mandatory, many students are not aware of the available support and opportunities."
"2026/07/08 9:13:42 pm GMT+4","Yes, I agree to participate","3rd year","Management","No","No","1","No","","","","","","","","","","","I did not know the services existed","2","3","3","2","One central internship information platform","I think the biggest weakness is that many students are not even aware that these internship support services exist.","The services should be advertised more effectively, so that every student is aware of the support available."
"2026/07/08 9:13:56 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","1","2","2","2","Earlier communication about internship opportunities","it is hard to get an internship despite the existing opportunities because there are not a lot and there are not enough spaces for every student even though it is mandatory for us","If it stays as mandatory, then the university should guarantee that no one is left without an internship "
"2026/07/08 9:16:49 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","I did not know how to access them","3","4","3","3","Earlier communication about internship opportunities","Many students do not see its value and therefore do not use it.","The university could do more to demonstrate the benefits of the service and encourage students to use it."
"2026/07/08 9:22:15 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I planned to use them later","2","4","3","3","More employer and alumni networking events","I dont think we receive enough information ","more announcements, more projects "
"2026/07/08 9:22:43 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","4","No","","","","","","","","","","","I planned to use them later","4","5","4","4","More school-specific internship guidance","Although I knew about the service, I did not find many opportunities that matched my interests and skills in computer science.","I would suggest building more partnerships with IT companies and increasing the number of internship opportunities specifically for computer science students."
"2026/07/08 9:24:47 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","No","No","2","No","","","","","","","","","","","I did not know the services existed","2","4","4","2","Earlier communication about internship opportunities","I was not aware that KIU offers internship support services, so I was unable to benefit from them.","The university could increase awareness of these services by communicating them more regularly to students."
"2026/07/08 9:24:57 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements;Other","2","2","2","1","1","4","1","2","2","","2","2","1","2","Earlier communication about internship opportunities","The administration doesn't try hard enough to involve all students","I wish they cared more about everyone and not just those with a high gpa to provide opportunities, since its mandatory"
